@RELATION OperacaoMarubozu

@ATTRIBUTE porcentagemOperacaoFinal REAL
@ATTRIBUTE precoEntrada REAL
@ATTRIBUTE precoPrimeiroAlvoFibonacci REAL
@ATTRIBUTE precoSegundoAlvoFibonacci REAL
@ATTRIBUTE precoStop REAL
@ATTRIBUTE precoTerceiroAlvoFibonacci REAL
@ATTRIBUTE primeiroAlvoAtingido {0,1}
@ATTRIBUTE segundoAlvoAtingido {0,1}
@ATTRIBUTE start {0,1}
@ATTRIBUTE terceiroAlvoAtingido {0,1}
@ATTRIBUTE pavioInferior {0,1,2}
@ATTRIBUTE pavioSuperior {0,1,2}
@ATTRIBUTE tipo {0,1}
@ATTRIBUTE variacaoPreco {0,1,2,3}
@ATTRIBUTE volumeAcimaMedia20 {0,1}

@DATA
0,12.95,13.5,13.84,12.04,14.4,0,0,0,0,2,2,1,1,1
1.11,16.99,17.56,17.93,16.02,18.51,1,0,1,0,1,1,1,0,1
5.22,90.51,93.59,95.5,85.49,98.59,1,1,1,0,0,0,1,0,1
5.14,23.35,24.03,24.47,22.2,25.16,1,1,1,1,0,1,1,0,1
5.71,27.49,28.51,29.16,25.79,30.19,1,1,1,0,0,0,1,0,1
1.64,14.01,14.7,15.14,12.85,15.84,1,0,1,0,1,0,1,2,1
21.95,91.71,103.25,110.39,73,121.94,1,1,1,1,2,1,1,0,1
3.12,37.5,38.2,38.64,36.33,39.35,0,0,1,0,0,0,1,1,0
1.18,17.18,17.79,18.18,16.15,18.8,1,0,1,0,2,1,1,0,1
6.3,37.59,36.14,35.25,39.96,33.79,0,0,1,0,2,0,0,0,1
8.04,26.49,25.19,24.39,28.62,23.08,0,0,1,0,1,2,0,0,1
1.77,98,103.23,106.47,89.49,111.72,1,0,1,0,2,0,1,0,1
1.99,25.38,23.86,22.91,27.89,21.38,1,0,1,0,2,0,0,0,1
2.45,28.81,26.69,25.38,32.26,23.25,1,0,1,0,2,2,0,1,1
12.9,13.24,12.26,11.66,14.85,10.67,1,1,1,1,2,1,0,0,1
7.84,15.68,14.66,14.02,17.36,13,1,1,1,0,1,1,0,0,1
8.01,15.49,14.46,13.82,17.19,12.78,1,1,1,0,0,1,0,0,1
3.34,11.26,10.13,9.44,13.11,8.3,1,0,1,0,1,2,0,0,1
1.52,33.3,31.78,30.84,35.79,29.31,1,0,1,0,0,1,0,0,1
7.68,13.8,13.16,12.77,14.86,12.12,0,0,1,0,1,0,0,0,1
3.07,12.53,12.31,12.17,12.91,11.95,1,1,1,1,0,0,0,1,1
0.93,47.8,46.46,45.64,49.98,44.29,1,0,1,0,0,1,0,0,1
0.93,21.81,21.2,20.82,22.83,20.2,1,0,1,0,2,1,0,0,1
0,10.37,10.64,10.81,9.89,11.1,0,0,0,0,0,0,1,0,1
1.04,12.78,13.18,13.44,12.09,13.85,1,0,1,0,0,1,1,0,1
6.86,29.28,30.43,31.15,27.38,32.31,1,1,1,1,2,1,1,0,1
1.66,11.23,11.79,12.15,10.28,12.72,1,0,1,0,0,2,1,0,1
2.22,26.5,28.27,29.37,23.59,31.16,1,0,1,0,0,1,1,0,1
6.9,12.76,13.18,13.45,12.04,13.88,1,1,1,1,0,2,1,0,1
8.92,14.01,14.76,15.23,12.76,15.99,0,0,1,0,1,2,1,1,1
4.08,45.99,44.43,43.47,48.54,41.9,1,1,1,0,2,0,0,0,1
