1;1;7;1;1;0;
1;1;7;1;0;0;
1;1;7;0;1;0;
1;1;7;0;0;0;
1;1;8;1;1;0;
1;1;8;1;0;0;
1;1;8;0;1;0;
1;1;8;0;0;0;
1;1;9;1;1;1;
1;1;9;1;0;0;
1;1;9;0;1;0;
1;1;9;0;0;0;
1;1;10;1;1;1;
1;1;10;1;0;0;
1;1;10;0;1;0;
1;1;10;0;0;0;
1;2;7;1;1;0;
1;2;7;1;0;0;
1;2;7;0;1;0;
1;2;7;0;0;0;
1;2;8;1;1;1;
1;2;8;1;0;0;
1;2;8;0;1;0;
1;2;8;0;0;0;
1;2;9;1;1;0;
1;2;9;1;0;1;
1;2;9;0;1;0;
1;2;9;0;0;0;
1;2;10;1;1;0;
1;2;10;1;0;0;
1;2;10;0;1;0;
1;2;10;0;0;0;
1;3;7;1;1;0;
1;3;7;1;0;0;
1;3;7;0;1;0;
1;3;7;0;0;0;
1;3;8;1;1;1;
1;3;8;1;0;0;
1;3;8;0;1;0;
1;3;8;0;0;0;
1;3;9;1;1;0;
1;3;9;1;0;0;
1;3;9;0;1;0;
1;3;9;0;0;0;
1;3;10;1;1;0;
1;3;10;1;0;0;
1;3;10;0;1;0;
1;3;10;0;0;0;
2;1;7;1;1;0;
2;1;7;1;0;0;
2;1;7;0;1;0;
2;1;7;0;0;0;
2;1;8;1;1;1;
2;1;8;1;0;0;
2;1;8;0;1;0;
2;1;8;0;0;0;
2;1;9;1;1;1;
2;1;9;1;0;1;
2;1;9;0;1;0;
2;1;9;0;0;0;
2;1;10;1;1;1;
2;1;10;1;0;1;
2;1;10;0;1;0;
2;1;10;0;0;0;
2;2;7;1;1;0;
2;2;7;1;0;1;
2;2;7;0;1;0;
2;2;7;0;0;0;
2;2;8;1;1;1;
2;2;8;1;0;0;
2;2;8;0;1;0;
2;2;8;0;0;0;
2;2;9;1;1;1;
2;2;9;1;0;0;
2;2;9;0;1;0;
2;2;9;0;0;0;
2;2;10;1;1;0;
2;2;10;1;0;1;
2;2;10;0;1;0;
2;2;10;0;0;0;
2;3;7;1;1;0;
2;3;7;1;0;1;
2;3;7;0;1;0;
2;3;7;0;0;0;
2;3;8;1;1;0;
2;3;8;1;0;1;
2;3;8;0;1;0;
2;3;8;0;0;0;
2;3;9;1;1;0;
2;3;9;1;0;0;
2;3;9;0;1;0;
2;3;9;0;0;0;
2;3;10;1;1;0;
2;3;10;1;0;0;
2;3;10;0;1;0;
2;3;10;0;0;0;
3;1;7;1;1;0;
3;1;7;1;0;0;
3;1;7;0;1;0;
3;1;7;0;0;0;
3;1;8;1;1;0;
3;1;8;1;0;0;
3;1;8;0;1;0;
3;1;8;0;0;0;
3;1;9;1;1;0;
3;1;9;1;0;0;
3;1;9;0;1;0;
3;1;9;0;0;0;
3;1;10;1;1;0;
3;1;10;1;0;1;
3;1;10;0;1;0;
3;1;10;0;0;0;
3;2;7;1;1;0;
3;2;7;1;0;0;
3;2;7;0;1;0;
3;2;7;0;0;0;
3;2;8;1;1;0;
3;2;8;1;0;0;
3;2;8;0;1;0;
3;2;8;0;0;0;
3;2;9;1;1;0;
3;2;9;1;0;0;
3;2;9;0;1;0;
3;2;9;0;0;0;
3;2;10;1;1;0;
3;2;10;1;0;0;
3;2;10;0;1;0;
3;2;10;0;0;0;
3;3;7;1;1;0;
3;3;7;1;0;0;
3;3;7;0;1;0;
3;3;7;0;0;0;
3;3;8;1;1;0;
3;3;8;1;0;0;
3;3;8;0;1;0;
3;3;8;0;0;0;
3;3;9;1;1;0;
3;3;9;1;0;0;
3;3;9;0;1;0;
3;3;9;0;0;0;
3;3;10;1;1;0;
3;3;10;1;0;0;
3;3;10;0;1;0;
3;3;10;0;0;0;
